,2MASS,KIC,Gaia_DR1,RA,Dec,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Kmag,kepmag,pmRA,pmDec,phot_g_mean_mag,Unnamed: 0,ID,Numax,Numax_err,Dnu_median_all,Dnu_median_all_err,Dnu_lin_all,Dnu_lin_all_err,Dnu_median,Dnu_median_err,Dnu_lin_m,Dnu_lin_m_err,q0,q1,q2,d02,d02_err,lw,lw_err,Amax,Aw,Ah,Amax_err,Aw_err,Ah_err,Amax2,Aw2,Ah2,Amax2_err,Aw2_err,Ah2_err,numax_fit,numax_fit_err
0,2MASS J19201973+3746549,2435987,2.05129122397789e+18,290.08221000000003,37.781940000000006,,15.698,14.517000000000001,14.084000000000001,13.764000000000001,12.512,11.862,11.704,14.568,0.0,0.0,14.395,2.0,2435987.0,36.81361512870068,2.234592585219373,4.247358788055674,0.023328114461856186,4.211273369276045,0.009127217871092892,4.169966989951899,0.013200850836517874,4.138878504144553,0.007000559029460963,0.032738797225559724,3.9814907473619847,25.55789579699037,0.5943563375789118,0.09281128530265087,-2.5004778344234406,0.7774400491327639,35.287176367324804,6.544031440349473,-11563429.602508245,0.9350800768709822,2.2684405998894,2373372.4829652086,36.17720970853816,7.730801539308794,-6384668.8196065985,0.8306203106054799,0.9557293177785712,5994093.892242713,37.87431652553625,0.24231869828948982
1,2MASS J19202354+3751229,2568916,2.05129167065471e+18,290.09811,37.856361,,15.155999999999999,14.069,13.677,13.405,12.222999999999999,11.63,11.497,14.120999999999999,-1.1,0.2,13.957,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3949088558833136,0.040019111152053734
2,2MASS J19203005+3750191,2569055,2.051297271292e+18,290.12521,37.838661,19.243,15.292,14.140999999999998,13.745999999999999,13.47,12.269,11.651,11.482999999999999,14.21,2.8,4.2,14.054,51.0,2569055.0,30.141183702069497,1.6421664192138652,3.7517847971576885,0.021999122708352397,3.7462737273390547,0.01390298319396809,3.6814823611143295,0.03633702229304113,3.7367078922074515,0.017339049443495867,0.040295762403489435,3.504863238928934,22.098278209361677,0.5599862205299146,0.06926442606463881,-1.8760161386497207,0.5612485315793699,30.469994257621288,8.250956509189745,10918628.305017801,1.3599333261752984,1.4183511626637946,2536519.92842525,30.5154566036079,4.371823319106519,-14735382.00561948,1.2257990911516294,1.7292572959842356,8171089.57808477,30.45958780887376,0.4751339877930003
3,2MASS J19203485+3746298,2436417,2.05128806288199e+18,290.14522999999997,37.774971,,15.245999999999999,14.078,13.681,13.405,12.232999999999999,11.569,11.397,14.151,-1.1,-3.8,13.977,6.0,2436417.0,26.531257711810063,0.5468808355169756,3.415862409351038,0.025283303993192868,3.402108179329006,0.00992160019216711,3.4007086783569167,0.024458679314279263,3.353858760047774,0.008090734108051958,0.029941601157199373,3.2514240580182734,20.23339838764433,0.4874515174427642,0.07232027248418728,-2.21352534338933,0.7408028137964249,26.385192278795863,4.856119909137608,27547164.023743477,0.6040034715926724,1.1194803463905092,14979993.115667827,27.361087742997658,3.8322160390134012,28618077.965446085,0.5612381996814131,0.9136220281770774,17611858.041461933,27.492186892196088,0.2963588361673535
4,2MASS J19203934+3748048,2569360,2.05129404147649e+18,290.16393999999997,37.801338,,15.390999999999998,14.104000000000001,13.62,13.299000000000001,12.035,11.323,11.164000000000001,14.151,0.0,0.0,13.956,52.0,2569360.0,20.8334835343876,0.9119514774856852,2.7629011475690732,0.01449571816041137,2.7426225236835258,0.006042648757529552,2.716026181859164,0.015320745338423812,2.678157027021931,0.004925339789133817,0.02185585364998196,2.5898089883481106,13.702306691383855,0.4003005731838023,0.07664857743375895,-2.5511996693277323,0.8797001989592401,20.685564191609252,4.221890292644701,-142769532.9814326,0.7051448846468513,1.4931202662582117,44955449.27489456,20.891178737070852,4.4480733901139695,49265898.53150863,1.1568255416321396,1.1886690345330064,101228037.24139516,21.4981561683556,0.2092724593061269
5,2MASS J19204557+3739509,2297384,2.05109870636784e+18,290.18987999999996,37.664139,,15.365,14.193,13.800999999999998,13.517999999999999,12.317,11.695,11.537,14.27,1.8,4.0,14.075999999999999,0.0,2297384.0,30.252909830680707,0.29464393214089885,3.754598562744985,0.03756245910830682,3.762600287457813,0.008519431308909947,3.664131275814388,0.02526081398339901,3.689503988578404,0.011511311824969431,0.043391540665663066,3.5465238224982594,22.40683800368885,0.5426680321110453,0.08499099707197642,-1.7582078705100783,0.46697666654055603,29.01163316896669,6.889277789000347,20209356.131095316,0.9042289173097976,0.9073329550342892,18359199.251907725,29.256803449079186,4.9007717837311535,29706182.27922492,0.7176708160908205,0.9855241354890736,7037609.638312712,30.587723262814457,0.3328926231727964
6,2MASS J19204635+3750228,2569624,2.05129421327382e+18,290.19315,37.839687,,,,,,10.475999999999999,9.705,9.468,,0.0,0.0,12.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
7,2MASS J19204971+3743426,2437171,2.05128699774287e+18,290.20715,37.728519,18.445999999999998,14.855,13.319,11.630999999999998,10.725999999999999,9.041,8.166,7.815,12.597999999999999,-5.4,1.5,12.17,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.007137247458961,0.17598760114394074
8,2MASS J19205287+3745331,2437353,2.05129290760398e+18,290.22033999999996,37.759209000000006,19.396,15.23,14.116,13.732000000000001,13.488,12.279000000000002,11.669,11.512,14.181,0.0,0.0,14.017000000000001,25.0,2437353.0,31.105151590757465,0.6384742574564566,3.809805179164785,0.02781280532084868,3.8193420083058567,0.009131451496069832,3.7614663380707833,0.027638987917024252,3.8028307611060215,0.012685935859813409,0.026257130631862826,3.6601662922663336,22.655232696028662,0.5728772090625327,0.08419630900440613,-1.8599731127862624,0.6144373655939881,30.550070424483035,6.221267736459332,-16137897.491613155,0.7503960578073013,1.5191288243640482,3361365.8947212994,30.82960093011577,5.9330196236248565,-10054317.934337698,1.3706764287547406,1.6636267636596098,9271543.061156437,31.664207332971618,0.35363750831803187
9,2MASS J19205338+3748282,2569935,2.05129331992066e+18,290.22244,37.807831,19.032,14.545,13.147,12.502,12.100999999999999,10.731,9.961,9.769,13.115,-11.7,-0.5,12.91,54.0,2569935.0,6.122419537010452,0.7662134062751148,0.9990381841822041,0.01316565607889836,0.9916849340990496,0.0046290279948662475,0.9953630414754162,0.011800128003264687,0.9833102542564868,0.003636975100592401,0.01008999651048437,0.9511907178365971,3.702220969161466,0.1631242460797031,0.02534675155458933,-2.9518668743520124,0.6596952707606517,4.537337355829432,1.2885078356579318,-21793346512.306908,0.4022593665599162,0.7223630559457493,20936220323.920033,5.093462066137485,1.902346968015772,14429862164.908726,0.5939811347499784,0.7049279487930571,4613128147.833982,5.456744115847703,0.20880728387913502
