#kic,dnu,dnu_err,numax,numax_err,T,M,M_err,R,R_err
2297384,3.7858330930522404,0.06061324398253292,34.86729716704605,1.618741636406872,4519.0,1.6154408348739224,0.25337904372770464,12.743309769600154,0.7323938660600183
2297825,3.801457524768718,0.05966487394972155,34.912930474811375,1.9521351117670045,4580.0,1.6277027849467287,0.29636647375078407,12.740441286877774,0.8287130986311387
2435987,4.19403779942,0.038698790893,41.0159074906,1.24600348252,4440.0,1.70028066708117,0.17677421170572605,12.107231378393692,0.4514275134006323
2436417,3.446535137284096,0.047434697290099005,31.426725609003498,1.495725142711737,4496.0,1.7089311301328922,0.267656797431969,13.823326846224985,0.7754075526859331
2437353,3.831916534856847,0.05342659825163804,34.970236714048994,1.3943632932774788,4540.0,1.5636295883197813,0.21273711548062285,12.504321447305651,0.6238029808611817
2437507,2.60748449677,0.0259953121341,22.6474776242,0.727436890367,4305.0,1.8291564790403523,0.2011203138198342,17.030549466474767,0.6735473701386021
2437564,3.845139631379319,0.05509458710328312,35.338390389346756,1.5873135789673043,4524.0,1.5830486938691841,0.23768124096021528,12.52707116306145,0.6816551040981123
2437804,3.3399099958095246,0.049360132399034605,29.59216009856068,1.261146676437185,4475.0,1.6065677953502444,0.23261714633196653,13.828318486809282,0.7336520113135959
2437816,2.31939555167,0.0196538606238,19.5882093353,0.677983672145,4292.0,1.8818848592041366,0.21581927570308443,18.58834251138028,0.7483754135724484
2438051,3.7570002468483397,0.06256706163642538,32.88948864564711,1.6933548389255508,4741.0,1.5022075847712073,0.2571184619502851,12.501881110236068,0.7778746944506113
2569055,3.753440453419326,0.061695389104222946,36.36920542481681,1.876760001484377,4531.0,1.9049911330324074,0.3265523491354512,13.5405871293876,0.8418440699845707
2569360,2.72486506782,0.0280967019328,23.4004177359,0.547360176546,4348.0,1.7172901411246282,0.15181821184035563,16.1936253773949,0.538219668173105
2569945,3.7785989726049016,0.05840742783347022,33.67655701947576,1.934861614279854,4759.0,1.5850827853856526,0.29452400243815313,12.679135560269946,0.8378889465108077
2570214,3.6131543111650486,0.07401948662625119,32.28219260168495,2.116799173747778,4801.0,1.6922290269098785,0.36446980804706763,13.351239001337781,1.0416393846999321
2570518,4.93652431081,0.0467632628851,48.7023800175,1.01637223666,4531.0,1.5288859024183332,0.12280095228763052,10.482632697871416,0.3173026663105974
